rank,pattern,level,coverage,baseline_overall_accuracy,baseline_subgroup_accuracy,baseline_subgroup_f1,pattern_age_bucket,pattern_relationship,pattern_race,pattern_hours-per-week_bucket,pattern_marital-status,pattern_sex,pattern_education-num_bucket,pattern_capital-gain_bucket
20,X13_bachelorsXXXFemale21-35none,4,199,0.8359018617,0.9000000000,0.9066666667,,,,21-35,,Female,13_bachelors,none
21,17-2413_bachelorsXXWhiteMaleXX,4,198,0.8306004192,0.9000000000,0.9137254902,17-24,,White,,,Male,13_bachelors,
22,25-34XXXWhiteXXlow,3,199,0.8416964616,0.9500000000,0.9256410256,25-34,,White,,,,,low
23,X09_hs_gradXUnmarriedBlackX36-40X,4,199,0.8365183085,0.9500000000,0.9256410256,,Unmarried,Black,36-40,,,09_hs_grad,
24,25-3410_12_some_college_assocXXBlackX36-40none,5,199,0.8351621255,0.9500000000,0.9256410256,25-34,,Black,36-40,,,10_12_some_college_assoc,none
25,35-4409_hs_gradNever-marriedXWhiteX36-40X,5,199,0.8310935766,0.9500000000,0.9256410256,35-44,,White,36-40,Never-married,,09_hs_grad,
26,35-4410_12_some_college_assocDivorcedUnmarriedWhiteXXnone,6,199,0.8354087042,0.9500000000,0.9256410256,35-44,Unmarried,White,,Divorced,,10_12_some_college_assoc,none
27,X08_grade_12XXXX36-40none,3,198,0.8292442362,0.9500000000,0.9256410256,,,,36-40,,,08_grade_12,none
28,XXNever-marriedUnmarriedBlackX36-40X,4,198,0.8306004192,0.9500000000,0.9256410256,,Unmarried,Black,36-40,Never-married,,,
29,XXXNot-in-familyXMale1-20none,4,198,0.8354087042,0.9500000000,0.9256410256,,Not-in-family,,1-20,,Male,,none
30,55-6409_hs_gradXXXFemale36-40none,5,199,0.8350388361,0.9500000000,0.9576576577,55-64,,,36-40,,Female,09_hs_grad,none
31,X14_16_graduateMarried-civ-spouseXWhiteXXhigh,4,198,0.8304771298,0.9500000000,0.9743589744,,,White,,Married-civ-spouse,,14_16_graduate,high
32,17-24XXOther-relativeXMaleXX,3,199,0.8319566021,1.000000000,1.000000000,17-24,Other-relative,,,,Male,,
33,65+XXXXFemale1-20X,3,199,0.8357785723,1.000000000,1.000000000,65+,,,1-20,,Female,,
34,X13_bachelorsNever-marriedXXX21-35X,3,199,0.8365183085,1.000000000,1.000000000,,,,21-35,Never-married,,13_bachelors,
35,25-3410_12_some_college_assocXOwn-childXMaleXX,4,199,0.8334360745,1.000000000,1.000000000,25-34,Own-child,,,,Male,10_12_some_college_assoc,
36,X06_grade_10Never-marriedOwn-childXXXnone,4,199,0.8349155468,1.000000000,1.000000000,,Own-child,,,Never-married,,06_grade_10,none
37,XXDivorcedUnmarriedXX21-35none,4,199,0.8333127851,1.000000000,1.000000000,,Unmarried,,21-35,Divorced,,,none
38,XXNever-marriedXAsian-Pac-IslanderMaleXnone,4,199,0.8314634447,1.000000000,1.000000000,,,Asian-Pac-Islander,,Never-married,Male,,none
39,17-2407_grade_11Never-marriedXXFemaleXnone,5,199,0.8333127851,1.000000000,1.000000000,17-24,,,,Never-married,Female,07_grade_11,none
40,25-34XNever-marriedXXMale21-35none,5,199,0.8329429170,1.000000000,1.000000000,25-34,,,21-35,Never-married,Male,,none
41,35-4409_hs_gradNever-marriedNot-in-familyWhiteXXX,5,199,0.8324497596,1.000000000,1.000000000,35-44,Not-in-family,White,,Never-married,,09_hs_grad,
42,X07_grade_11XOwn-childWhiteX1-20none,5,199,0.8368881766,1.000000000,1.000000000,,Own-child,White,1-20,,,07_grade_11,none
43,X10_12_some_college_assocNever-marriedNot-in-familyWhiteX21-35X,5,199,0.8435458020,1.000000000,1.000000000,,Not-in-family,White,21-35,Never-married,,10_12_some_college_assoc,
44,17-2410_12_some_college_assocNever-marriedOwn-childXFemale21-35X,6,199,0.8372580446,1.000000000,1.000000000,17-24,Own-child,,21-35,Never-married,Female,10_12_some_college_assoc,
45,35-4409_hs_gradNever-marriedXWhiteMaleXnone,6,199,0.8371347553,1.000000000,1.000000000,35-44,,White,,Never-married,Male,09_hs_grad,none
46,X10_12_some_college_assocNever-marriedOwn-childWhiteMale1-20none,7,199,0.8309702873,1.000000000,1.000000000,,Own-child,White,1-20,Never-married,Male,10_12_some_college_assoc,none
47,XXDivorcedOwn-childXX36-40X,3,198,0.8344223893,1.000000000,1.000000000,,Own-child,,36-40,Divorced,,,
48,X05_grade_9XXXMale36-40none,4,198,0.8416964616,1.000000000,1.000000000,,,,36-40,,Male,05_grade_9,none
49,X07_grade_11Never-marriedXWhiteFemaleXX,4,198,0.8307237085,1.000000000,1.000000000,,,White,,Never-married,Female,07_grade_11,
50,17-2409_hs_gradXOwn-childXX21-35none,5,198,0.8338059425,1.000000000,1.000000000,17-24,Own-child,,21-35,,,09_hs_grad,none
