age_bucket,workclass,education-num_bucket,marital-status,occupation,relationship,race,sex,hours-per-week_bucket,capital-gain_bucket,capital-loss_bucket,native-country_group,income
45-54,Private,10_12_some_college_assoc,Married-civ-spouse,Transport-moving,Husband,White,Male,36-40,none,high,United-States,<=50K
55-64,missing,09_hs_grad,Married-civ-spouse,missing,Husband,White,Male,21-35,none,high,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,high,United-States,<=50K
25-34,Private,02_grade_1_4,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,21-35,none,high,North-America-other,<=50K
45-54,Private,03_grade_5_6,Married-civ-spouse,Other-service,Husband,White,Male,36-40,none,high,Europe,<=50K
35-44,Self-emp-inc,06_grade_10,Never-married,Transport-moving,Not-in-family,White,Male,41-50,none,high,United-States,>50K
35-44,Private,06_grade_10,Never-married,Prof-specialty,Not-in-family,White,Male,61+,none,high,United-States,>50K
17-24,Private,10_12_some_college_assoc,Separated,Other-service,Not-in-family,White,Male,36-40,none,high,United-States,>50K
55-64,Self-emp-inc,06_grade_10,Widowed,Exec-managerial,Unmarried,White,Female,41-50,none,high,United-States,>50K
45-54,Private,14_16_graduate,Divorced,Exec-managerial,Not-in-family,White,Male,51-60,none,high,United-States,>50K
45-54,Private,13_bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,41-50,none,high,United-States,>50K
55-64,Self-emp-not-inc,09_hs_grad,Never-married,Exec-managerial,Not-in-family,Black,Male,41-50,none,high,United-States,>50K
55-64,Federal-gov,14_16_graduate,Divorced,Exec-managerial,Not-in-family,White,Female,51-60,none,high,United-States,>50K
45-54,Private,09_hs_grad,Never-married,Sales,Not-in-family,White,Male,41-50,none,high,United-States,>50K
45-54,Private,14_16_graduate,Never-married,Prof-specialty,Not-in-family,White,Female,41-50,none,high,United-States,>50K
35-44,Self-emp-not-inc,14_16_graduate,Never-married,Prof-specialty,Not-in-family,White,Female,51-60,none,high,United-States,>50K
45-54,Private,14_16_graduate,Divorced,Prof-specialty,Not-in-family,White,Female,36-40,none,high,United-States,>50K
35-44,Private,13_bachelors,Divorced,Exec-managerial,Unmarried,White,Male,41-50,none,high,United-States,>50K
35-44,Private,14_16_graduate,Divorced,Exec-managerial,Unmarried,White,Female,36-40,none,high,United-States,>50K
45-54,Private,10_12_some_college_assoc,Divorced,Adm-clerical,Unmarried,White,Female,36-40,none,high,United-States,>50K
35-44,Private,14_16_graduate,Divorced,Prof-specialty,Unmarried,White,Female,36-40,none,high,United-States,>50K
65+,missing,09_hs_grad,Married-civ-spouse,missing,Husband,White,Male,1-20,none,high,United-States,<=50K
45-54,Private,13_bachelors,Married-spouse-absent,Sales,Unmarried,White,Female,61+,none,high,United-States,>50K
65+,Private,09_hs_grad,Married-civ-spouse,Sales,Husband,White,Male,51-60,none,high,United-States,<=50K
65+,Self-emp-not-inc,09_hs_grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,36-40,none,high,Asia,<=50K
65+,missing,10_12_some_college_assoc,Married-civ-spouse,missing,Wife,White,Female,36-40,none,high,United-States,<=50K
65+,missing,10_12_some_college_assoc,Married-civ-spouse,missing,Husband,White,Male,36-40,none,high,United-States,<=50K
35-44,Self-emp-not-inc,14_16_graduate,Never-married,Prof-specialty,Not-in-family,White,Male,41-50,none,high,United-States,>50K
45-54,Private,09_hs_grad,Widowed,Sales,Not-in-family,White,Female,61+,none,high,United-States,>50K
45-54,State-gov,10_12_some_college_assoc,Divorced,Tech-support,Not-in-family,White,Male,36-40,none,high,United-States,>50K
35-44,Private,10_12_some_college_assoc,Never-married,Exec-managerial,Not-in-family,White,Female,36-40,none,high,United-States,>50K
35-44,Private,14_16_graduate,Never-married,Sales,Not-in-family,White,Male,41-50,none,high,United-States,>50K
25-34,Private,13_bachelors,Never-married,Exec-managerial,Other-relative,White,Male,41-50,none,high,United-States,>50K
45-54,Private,10_12_some_college_assoc,Separated,Craft-repair,Not-in-family,White,Male,41-50,none,high,United-States,>50K
35-44,Local-gov,10_12_some_college_assoc,Never-married,Protective-serv,Not-in-family,White,Male,36-40,none,high,United-States,>50K
35-44,Private,13_bachelors,Never-married,Sales,Not-in-family,White,Female,41-50,none,high,United-States,>50K
25-34,Private,10_12_some_college_assoc,Separated,Craft-repair,Not-in-family,White,Male,41-50,none,high,United-States,>50K
35-44,Private,10_12_some_college_assoc,Divorced,Craft-repair,Not-in-family,White,Male,61+,none,high,United-States,>50K
45-54,Self-emp-inc,07_grade_11,Never-married,Exec-managerial,Other-relative,White,Male,36-40,none,high,United-States,>50K
35-44,Private,10_12_some_college_assoc,Married-civ-spouse,Adm-clerical,Wife,White,Female,1-20,none,high,United-States,>50K
45-54,Self-emp-not-inc,13_bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,36-40,none,high,Asia,>50K
35-44,Private,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,36-40,none,high,United-States,>50K
55-64,Self-emp-inc,10_12_some_college_assoc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,61+,none,high,Other,>50K
35-44,Private,14_16_graduate,Married-civ-spouse,Exec-managerial,Husband,White,Male,51-60,none,high,United-States,>50K
55-64,Self-emp-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,21-35,none,high,Europe,>50K
35-44,Self-emp-inc,13_bachelors,Married-civ-spouse,Sales,Husband,White,Male,51-60,none,high,United-States,>50K
35-44,Self-emp-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,51-60,none,high,United-States,>50K
45-54,Private,13_bachelors,Married-civ-spouse,Sales,Husband,White,Male,51-60,none,high,United-States,>50K
45-54,Self-emp-not-inc,09_hs_grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
35-44,Local-gov,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,high,United-States,>50K
55-64,Self-emp-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
35-44,Private,14_16_graduate,Married-civ-spouse,Exec-managerial,Wife,White,Female,61+,none,high,United-States,>50K
35-44,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,51-60,none,high,United-States,>50K
35-44,missing,10_12_some_college_assoc,Married-civ-spouse,missing,Husband,White,Male,1-20,none,high,United-States,>50K
45-54,Private,14_16_graduate,Married-civ-spouse,Sales,Husband,White,Male,61+,none,high,United-States,>50K
35-44,Private,14_16_graduate,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
25-34,Private,13_bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,high,United-States,>50K
35-44,Self-emp-inc,10_12_some_college_assoc,Married-civ-spouse,Exec-managerial,Husband,White,Male,51-60,none,high,United-States,>50K
55-64,Self-emp-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,61+,none,high,United-States,>50K
25-34,Private,14_16_graduate,Married-civ-spouse,Exec-managerial,Husband,White,Male,61+,none,high,Asia,>50K
55-64,Self-emp-not-inc,10_12_some_college_assoc,Married-civ-spouse,Farming-fishing,Husband,White,Male,36-40,none,high,United-States,>50K
35-44,Self-emp-inc,13_bachelors,Married-civ-spouse,Sales,Husband,White,Male,41-50,none,high,United-States,>50K
35-44,Self-emp-not-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
35-44,Self-emp-not-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,high,Other,>50K
35-44,Federal-gov,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,51-60,none,high,Other,>50K
55-64,Self-emp-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
35-44,Self-emp-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,51-60,none,high,United-States,>50K
35-44,Private,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,61+,none,high,Asia,>50K
45-54,Self-emp-not-inc,13_bachelors,Married-civ-spouse,Sales,Husband,White,Male,36-40,none,high,United-States,>50K
35-44,Private,10_12_some_college_assoc,Married-civ-spouse,Farming-fishing,Husband,White,Male,61+,none,high,United-States,>50K
55-64,Self-emp-inc,13_bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,51-60,none,high,United-States,>50K
25-34,Self-emp-not-inc,09_hs_grad,Married-civ-spouse,Other-service,Wife,White,Female,36-40,none,high,United-States,>50K
45-54,Private,13_bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,21-35,none,high,Asia,>50K
45-54,Self-emp-not-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,61+,none,high,United-States,>50K
35-44,Self-emp-inc,10_12_some_college_assoc,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,high,United-States,>50K
35-44,Private,14_16_graduate,Married-civ-spouse,Sales,Husband,White,Male,61+,none,high,United-States,>50K
55-64,Private,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,high,United-States,>50K
45-54,Self-emp-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,51-60,none,high,United-States,>50K
45-54,Private,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,51-60,none,high,United-States,>50K
45-54,Self-emp-not-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,36-40,none,high,United-States,>50K
45-54,Self-emp-not-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,21-35,none,high,United-States,>50K
35-44,Self-emp-inc,14_16_graduate,Married-civ-spouse,Exec-managerial,Wife,White,Female,51-60,none,high,United-States,>50K
35-44,Private,13_bachelors,Married-civ-spouse,Sales,Husband,White,Male,41-50,none,high,United-States,>50K
35-44,Private,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,61+,none,high,United-States,>50K
45-54,Private,10_12_some_college_assoc,Married-civ-spouse,Sales,Husband,White,Male,41-50,none,high,United-States,>50K
45-54,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,1-20,none,high,United-States,>50K
45-54,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,51-60,none,high,United-States,>50K
45-54,Self-emp-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,high,United-States,>50K
65+,Private,13_bachelors,Widowed,Exec-managerial,Not-in-family,White,Male,36-40,none,high,United-States,>50K
65+,Self-emp-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,61+,none,high,United-States,>50K
65+,Self-emp-not-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,21-35,none,high,United-States,>50K
65+,missing,14_16_graduate,Married-civ-spouse,missing,Husband,White,Male,1-20,none,high,United-States,>50K
45-54,Self-emp-inc,14_16_graduate,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
65+,Self-emp-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,36-40,none,high,United-States,>50K
65+,Self-emp-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,51-60,none,high,United-States,>50K
65+,Self-emp-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,51-60,none,high,United-States,>50K
65+,Private,14_16_graduate,Married-civ-spouse,Exec-managerial,Husband,White,Male,36-40,none,high,United-States,>50K
25-34,Private,10_12_some_college_assoc,Married-civ-spouse,Adm-clerical,Husband,White,Male,41-50,none,high,United-States,<=50K
65+,State-gov,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,51-60,none,high,United-States,>50K
45-54,Self-emp-inc,09_hs_grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,36-40,none,high,United-States,>50K
35-44,Private,09_hs_grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,51-60,none,high,United-States,<=50K
65+,Self-emp-not-inc,13_bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,1-20,none,high,United-States,>50K
25-34,Private,10_12_some_college_assoc,Married-civ-spouse,Adm-clerical,Wife,Black,Female,1-20,none,high,United-States,<=50K
35-44,Local-gov,10_12_some_college_assoc,Married-civ-spouse,Exec-managerial,Husband,White,Male,36-40,none,high,United-States,<=50K
17-24,Private,09_hs_grad,Married-civ-spouse,Sales,Husband,White,Male,36-40,none,high,United-States,<=50K
65+,Private,09_hs_grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,21-35,none,high,United-States,>50K
65+,Self-emp-not-inc,14_16_graduate,Married-civ-spouse,Sales,Husband,White,Male,21-35,none,high,United-States,>50K
65+,Private,09_hs_grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
65+,Private,10_12_some_college_assoc,Married-civ-spouse,Sales,Husband,White,Male,51-60,none,high,United-States,>50K
65+,State-gov,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,41-50,none,high,Other,>50K
65+,missing,13_bachelors,Married-civ-spouse,missing,Husband,White,Male,36-40,none,high,United-States,>50K
45-54,Private,09_hs_grad,Married-civ-spouse,Sales,Husband,Black,Male,36-40,none,high,United-States,<=50K
35-44,Self-emp-inc,10_12_some_college_assoc,Married-civ-spouse,Craft-repair,Husband,White,Male,41-50,none,high,United-States,<=50K
65+,missing,13_bachelors,Married-civ-spouse,missing,Husband,White,Male,21-35,none,high,United-States,>50K
17-24,Private,10_12_some_college_assoc,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,<=50K
35-44,Private,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,high,United-States,<=50K
65+,Self-emp-inc,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
55-64,Self-emp-not-inc,09_hs_grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,41-50,none,high,United-States,<=50K
65+,Self-emp-inc,09_hs_grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,61+,none,high,United-States,<=50K
45-54,Private,03_grade_5_6,Divorced,Craft-repair,Not-in-family,White,Female,41-50,none,high,United-States,<=50K
25-34,Local-gov,13_bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,51-60,none,high,United-States,<=50K
55-64,Local-gov,09_hs_grad,Widowed,Farming-fishing,Unmarried,White,Male,36-40,none,high,United-States,<=50K
55-64,Private,03_grade_5_6,Never-married,Handlers-cleaners,Not-in-family,Black,Male,36-40,none,high,United-States,<=50K
55-64,State-gov,13_bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,36-40,none,high,United-States,<=50K
45-54,Self-emp-inc,10_12_some_college_assoc,Divorced,Exec-managerial,Not-in-family,White,Male,41-50,none,high,United-States,<=50K
25-34,Private,13_bachelors,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,36-40,none,high,Other,<=50K
25-34,Private,13_bachelors,Never-married,Prof-specialty,Own-child,White,Female,21-35,none,high,United-States,<=50K
55-64,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Not-in-family,Black,Female,41-50,none,high,Other,<=50K
55-64,Local-gov,09_hs_grad,Separated,Protective-serv,Other-relative,Black,Female,36-40,none,high,United-States,<=50K
25-34,State-gov,10_12_some_college_assoc,Separated,Exec-managerial,Own-child,White,Male,36-40,none,high,United-States,<=50K
35-44,missing,10_12_some_college_assoc,Widowed,missing,Not-in-family,White,Female,36-40,none,high,United-States,<=50K
55-64,Self-emp-not-inc,14_16_graduate,Divorced,Sales,Unmarried,White,Female,51-60,none,high,United-States,<=50K
35-44,Private,09_hs_grad,Divorced,Craft-repair,Not-in-family,White,Male,36-40,none,high,United-States,<=50K
35-44,Private,09_hs_grad,Never-married,Adm-clerical,Other-relative,Black,Female,36-40,none,high,North-America-other,<=50K
25-34,Private,14_16_graduate,Never-married,Prof-specialty,Not-in-family,White,Male,36-40,none,high,North-America-other,<=50K
35-44,Self-emp-not-inc,14_16_graduate,Divorced,Other-service,Not-in-family,White,Female,21-35,none,high,United-States,<=50K
65+,Private,13_bachelors,Widowed,Prof-specialty,Not-in-family,White,Male,36-40,none,high,United-States,>50K
65+,Local-gov,09_hs_grad,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,high,United-States,<=50K
65+,Private,03_grade_5_6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36-40,none,high,United-States,<=50K
55-64,Local-gov,14_16_graduate,Married-civ-spouse,Prof-specialty,Wife,White,Female,36-40,none,high,United-States,<=50K
55-64,Federal-gov,09_hs_grad,Never-married,Adm-clerical,Not-in-family,White,Male,36-40,none,high,United-States,<=50K
17-24,Self-emp-not-inc,10_12_some_college_assoc,Never-married,Farming-fishing,Own-child,White,Male,1-20,none,high,United-States,<=50K
25-34,Private,09_hs_grad,Divorced,Craft-repair,Not-in-family,White,Male,61+,none,high,United-States,<=50K
25-34,Self-emp-not-inc,10_12_some_college_assoc,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,36-40,none,high,Other,<=50K
35-44,Private,13_bachelors,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,41-50,none,high,Asia,<=50K
35-44,Private,10_12_some_college_assoc,Separated,Machine-op-inspct,Not-in-family,White,Male,51-60,none,high,United-States,>50K
45-54,State-gov,10_12_some_college_assoc,Divorced,Adm-clerical,Unmarried,White,Male,36-40,none,high,United-States,>50K
25-34,Private,13_bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,41-50,none,high,United-States,>50K
55-64,Federal-gov,13_bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,36-40,none,high,United-States,<=50K
35-44,Private,09_hs_grad,Never-married,Craft-repair,Own-child,White,Male,41-50,none,high,United-States,>50K
45-54,Private,13_bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,36-40,none,high,United-States,>50K
25-34,Private,13_bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,41-50,none,high,United-States,>50K
25-34,Self-emp-not-inc,09_hs_grad,Never-married,Craft-repair,Not-in-family,White,Male,41-50,none,high,United-States,<=50K
17-24,Private,13_bachelors,Never-married,Prof-specialty,Own-child,White,Female,36-40,none,high,United-States,>50K
25-34,Private,14_16_graduate,Never-married,Prof-specialty,Not-in-family,White,Male,41-50,none,high,United-States,<=50K
25-34,Private,08_grade_12,Divorced,Craft-repair,Not-in-family,White,Male,41-50,none,high,United-States,<=50K
35-44,Local-gov,14_16_graduate,Never-married,Prof-specialty,Not-in-family,White,Female,51-60,none,high,United-States,<=50K
55-64,Private,10_12_some_college_assoc,Widowed,Adm-clerical,Unmarried,White,Female,36-40,none,high,United-States,>50K
35-44,Private,09_hs_grad,Never-married,Exec-managerial,Not-in-family,White,Male,61+,none,high,United-States,<=50K
35-44,Federal-gov,13_bachelors,Divorced,Tech-support,Not-in-family,White,Male,36-40,none,high,United-States,>50K
45-54,State-gov,14_16_graduate,Never-married,Exec-managerial,Not-in-family,White,Female,41-50,none,high,United-States,>50K
35-44,Self-emp-inc,10_12_some_college_assoc,Never-married,Sales,Not-in-family,White,Male,51-60,none,high,United-States,<=50K
55-64,Private,10_12_some_college_assoc,Widowed,Farming-fishing,Not-in-family,White,Male,61+,none,high,United-States,>50K
45-54,Private,09_hs_grad,Divorced,Farming-fishing,Not-in-family,White,Male,41-50,none,high,United-States,>50K
45-54,Private,09_hs_grad,Divorced,Exec-managerial,Not-in-family,White,Female,36-40,none,high,United-States,>50K
25-34,Private,13_bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,41-50,none,high,United-States,>50K
55-64,Local-gov,09_hs_grad,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,36-40,none,high,United-States,>50K
65+,Self-emp-not-inc,10_12_some_college_assoc,Married-civ-spouse,Exec-managerial,Husband,White,Male,36-40,none,high,United-States,>50K
65+,Self-emp-not-inc,14_16_graduate,Married-civ-spouse,Exec-managerial,Husband,White,Male,1-20,none,high,United-States,>50K
65+,Private,13_bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,36-40,none,high,United-States,>50K
65+,Self-emp-not-inc,14_16_graduate,Married-civ-spouse,Prof-specialty,Husband,White,Male,21-35,none,high,United-States,>50K
25-34,Private,09_hs_grad,Separated,Machine-op-inspct,Unmarried,White,Female,36-40,none,high,United-States,<=50K
25-34,Private,06_grade_10,Widowed,Adm-clerical,Unmarried,White,Female,21-35,none,high,United-States,<=50K
17-24,Self-emp-not-inc,13_bachelors,Never-married,Adm-clerical,Own-child,White,Male,36-40,none,high,United-States,>50K
45-54,Local-gov,05_grade_9,Widowed,Handlers-cleaners,Unmarried,White,Male,36-40,none,high,United-States,>50K
25-34,Local-gov,10_12_some_college_assoc,Never-married,Protective-serv,Not-in-family,White,Male,36-40,none,high,United-States,>50K
65+,Private,09_hs_grad,Never-married,Other-service,Not-in-family,Black,Male,36-40,none,high,United-States,<=50K
65+,Private,09_hs_grad,Widowed,Adm-clerical,Not-in-family,White,Female,21-35,none,high,United-States,<=50K
65+,Private,09_hs_grad,Divorced,Adm-clerical,Unmarried,White,Female,51-60,none,high,North-America-other,<=50K
65+,missing,09_hs_grad,Widowed,missing,Unmarried,White,Female,1-20,none,high,United-States,<=50K
65+,Private,13_bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,1-20,none,high,United-States,<=50K
65+,Local-gov,13_bachelors,Widowed,Prof-specialty,Not-in-family,Black,Female,21-35,none,high,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Not-in-family,White,Male,21-35,none,high,United-States,<=50K
35-44,Self-emp-not-inc,10_12_some_college_assoc,Divorced,Machine-op-inspct,Not-in-family,White,Male,21-35,none,high,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Never-married,Adm-clerical,Own-child,White,Female,36-40,none,high,United-States,<=50K
17-24,Private,10_12_some_college_assoc,Never-married,Other-service,Own-child,White,Female,1-20,none,high,United-States,<=50K
35-44,Private,09_hs_grad,Divorced,Craft-repair,Not-in-family,White,Male,36-40,none,high,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Never-married,Other-service,Own-child,Black,Female,36-40,none,high,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Never-married,Machine-op-inspct,Other-relative,White,Female,36-40,none,high,Europe,<=50K
35-44,Private,04_grade_7_8,Never-married,Handlers-cleaners,Not-in-family,Black,Male,36-40,none,high,United-States,<=50K
55-64,missing,09_hs_grad,Divorced,missing,Not-in-family,White,Female,36-40,none,high,United-States,<=50K
35-44,Self-emp-inc,14_16_graduate,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,51-60,none,high,Asia,>50K
55-64,Private,07_grade_11,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,high,United-States,<=50K
25-34,Private,04_grade_7_8,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,36-40,none,high,North-America-other,<=50K
35-44,Self-emp-inc,10_12_some_college_assoc,Married-civ-spouse,Sales,Husband,Other,Male,61+,none,high,North-America-other,<=50K
35-44,Self-emp-not-inc,04_grade_7_8,Married-civ-spouse,Craft-repair,Husband,White,Male,36-40,none,high,United-States,<=50K
55-64,Self-emp-not-inc,02_grade_1_4,Married-civ-spouse,Transport-moving,Husband,White,Male,1-20,none,high,United-States,<=50K
55-64,State-gov,10_12_some_college_assoc,Married-civ-spouse,Exec-managerial,Husband,White,Male,36-40,none,high,United-States,<=50K
25-34,Self-emp-not-inc,09_hs_grad,Married-civ-spouse,Farming-fishing,Wife,White,Female,1-20,none,high,United-States,<=50K
45-54,Private,09_hs_grad,Married-civ-spouse,Transport-moving,Husband,White,Male,41-50,none,high,United-States,<=50K
25-34,Private,09_hs_grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,36-40,none,high,United-States,<=50K
45-54,Private,06_grade_10,Married-civ-spouse,Sales,Husband,White,Male,51-60,none,high,United-States,<=50K
35-44,Private,10_12_some_college_assoc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,36-40,none,high,United-States,<=50K
45-54,Self-emp-not-inc,03_grade_5_6,Married-civ-spouse,Sales,Husband,White,Male,41-50,none,high,North-America-other,<=50K
55-64,missing,13_bachelors,Married-civ-spouse,missing,Husband,White,Male,41-50,none,high,United-States,<=50K
35-44,Self-emp-not-inc,09_hs_grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,36-40,none,high,United-States,<=50K
25-34,Private,10_12_some_college_assoc,Married-civ-spouse,Transport-moving,Husband,Black,Male,36-40,none,high,United-States,<=50K
65+,missing,13_bachelors,Married-civ-spouse,missing,Husband,White,Male,36-40,none,high,United-States,>50K
65+,Self-emp-not-inc,10_12_some_college_assoc,Married-civ-spouse,Exec-managerial,Husband,White,Male,1-20,none,high,United-States,>50K
